tconst	averageRating	numVotes
tt10342250	5.4	742
tt10342350	5.6	7
tt10343642	4.7	15
tt10344254	7.8	49
tt10344522	6.4	1464
tt10345858	5.8	12
tt10348500	8.5	17
tt10348516	5.5	180
tt10349240	3.8	425
tt10349842	4.8	31
tt10350048	5.3	144
tt10350244	6.4	9
tt10351328	7.8	17
tt10353704	6.4	33
tt10353866	5.8	275
tt10354076	3.4	55
tt10354764	4.8	208
tt10356526	7.0	143
tt10356734	4.4	61
tt10356932	6.4	22
tt10357088	4.7	22
tt10357406	8.4	5
tt10358022	5.7	1330
tt10360492	3.4	10
tt10360592	6.6	44
tt10360674	5.4	12
tt10360782	5.2	455
tt10360862	7.0	2769
tt10360878	5.3	44
tt10362466	5.2	22105
tt10364020	6.8	17
tt10364402	5.2	194
tt10365870	6.8	205
tt10366204	7.1	123
tt10366330	7.6	16
tt10366460	7.9	308
tt10366806	7.2	274
tt10366954	7.8	10
tt10368460	3.8	174
tt10368540	5.2	5
tt10368680	4.4	93
tt10369210	5.9	164
tt10369344	6.2	106
tt10369872	7.1	60
tt10370116	8.5	2593
tt10370380	7.2	2523
tt10370434	8.8	89
tt10373830	5.4	226
tt10374236	5.8	155
tt10374618	7.4	18
tt10375044	3.5	14
tt10375106	6.5	1342
tt10375110	3.2	6
tt10375192	7.4	58
tt10375196	8.0	59
tt10375208	7.3	6
tt10375270	9.3	7
tt10375272	4.4	322
tt10375682	7.0	1044
tt10376478	6.1	9
tt10377314	6.2	46
tt10378590	3.8	51
tt10379006	5.1	81
tt10380168	6.3	318
tt10380266	8.9	410
tt10380744	7.1	14
tt10380980	6.4	133
tt10381014	6.2	438
tt10381602	7.5	53
tt10383290	6.4	354
tt10383542	5.3	9
tt10383816	6.8	71
tt10383944	5.1	93
tt10384108	7.0	303
tt10384472	6.4	56
tt10384504	8.5	270
tt10384514	8.4	445
tt10384908	5.7	132
tt10385004	10.0	5
tt10385482	4.4	40
tt10385556	6.1	75
tt10388676	4.3	19
tt10389922	6.2	235
tt10389924	4.8	628
tt10394256	3.0	27
tt10394760	5.5	22
tt10394802	5.0	77
tt10395398	7.6	18
tt10395748	7.2	13
tt10395866	5.7	59
tt10396038	5.4	36
tt10397348	7.8	10
tt10397930	3.0	6
tt10397992	4.4	208
tt10398080	7.4	90
tt10398802	5.8	22
tt10399114	4.4	184
tt10399342	9.0	8
tt10399352	2.5	6
tt10399550	5.6	45
tt10399674	3.4	214
tt10399736	4.9	29
tt10399760	4.3	130
tt10400198	8.1	11
tt10402898	6.7	48
tt10403580	5.4	18
tt10403962	6.1	374
tt10404324	3.8	48
tt10404530	8.6	48
tt10405760	5.8	52
tt10405902	6.6	532
tt10406312	6.4	21
tt10407272	6.6	3200
tt10408944	4.4	78
tt10409102	5.0	21
tt10409554	6.5	467
tt10409568	6.6	80
tt10409582	5.8	120
tt10409774	4.6	119
tt10409958	6.8	16
tt10410186	6.5	76
tt10410520	4.0	125
tt10410604	7.2	81
tt10410782	7.5	13
tt10412690	6.4	80
tt10413092	6.1	38
tt10413374	4.5	75
tt10413566	5.8	2961
tt10414756	5.1	28
tt10415576	7.1	35
tt10415684	6.6	7
tt10415798	6.1	83
tt10416008	7.0	83
tt10416734	7.9	53
tt10417498	6.1	18
tt10417658	5.6	8
tt10418630	6.8	718
tt10418830	6.2	24
tt10419042	6.6	147
tt10420250	3.8	44
tt10420532	7.0	2329
tt10422832	3.9	7
tt10423120	5.3	128
tt10423148	5.5	137
tt10426054	8.0	11
tt10426694	3.6	135
tt10426736	4.1	14
tt10426776	3.0	5
tt10426804	4.0	13
tt10426916	6.3	1367
tt10427988	6.6	9
tt10428246	4.3	434
tt10428252	6.6	137
tt10428284	8.1	15
tt10428316	8.6	91
tt10428328	4.6	10
tt10428348	6.1	20
tt10428354	5.7	6
tt10428380	5.8	43
tt10429158	6.7	134
tt10431010	7.4	1339
tt10431500	8.2	39898
tt10431882	8.5	10
tt10432140	7.6	48
tt10432662	7.8	39
tt10432682	4.2	148
tt10433364	5.6	17
tt10433624	6.7	31
tt10434142	6.4	1562
tt10436268	6.0	5
tt10436798	5.0	30
tt10438454	5.9	208
tt10438500	7.2	253
tt10438520	5.4	146
tt10438658	6.1	307
tt10440846	9.2	5
tt10441486	7.5	529
tt10441806	5.6	4871
tt10441822	6.0	68
tt10441878	6.8	20
tt10441958	5.9	1208
tt10442492	7.2	32
tt10442766	5.1	28
tt10443322	5.8	13
tt10443634	6.1	10
tt10443760	5.1	9
tt10443764	5.5	20
tt10443780	8.0	30
tt10443846	8.0	3273
tt10444252	5.9	220
tt10444660	6.2	22
tt10444992	5.8	275
tt10446658	5.7	340
tt10448124	6.4	82
tt10448458	5.9	146
tt10448528	4.8	56
tt10448536	4.9	73
