**movies.txt** \- Contains the following information for titles:

-   tconst (string) - alphanumeric unique identifier of the title
-   primaryTitle (string) the more popular title / the title used by the filmmakers on promotional materials at the point of release
-   startYear (YYYY) represents the release year of a title. In the case of TV Series, it is the series start year
-   genre1-genre3 includes up to three genres associated with the title

tconst	primaryTitle	startYear	genre1	genre2	genre3
tt10084190	Chandigarh Amritsar Chandigarh	2019	Comedy	Drama	Romance
tt10084200	The Legend of Snow Figure	2016	Comedy		
tt10084358	Kahi Kshan Premache	2019	Drama		
tt10084394	Pattipulam	2019	Comedy		
tt10084608	Neerthirai	2019	Drama		
tt10084614	My Angel My Teacher	2019	Drama		
tt10084684	Dwikhondito	2019	Drama		
tt10084688	Auerhaus	2019	Comedy	Drama	Romance
tt10084780	Vinara sodara veera kumara	2019	Drama	Romance	
tt10085298	Nerea	2019	Drama		
tt10085524	I Wanted Our Summer	2019	Drama		
tt10085648	Vourate Geitonoi	2019	Comedy		
tt10085818	The Secret of the River	2018	Drama	Romance	
tt10085844	Tausiyah Cinta	2016	Romance		
tt10086164	5 PM (Lima Penjuru Masjid)	2018	Drama		
tt10086502	Scent of My Daughter	2019	Drama		
tt10086648	Shadowfall	2019	Drama		
tt10086784	John Light	2019	Drama		
tt10086836	Highest Point	2019	Drama		
tt10086930	Impossible to Imagine	2019	Drama	Romance	
tt10087396	Hrudayat Something Something	2018	Comedy		
tt10087448	Keep Calm and Snap	2019	Comedy		
tt10087852	Neele Gagan Ke Tale	2019	Drama		
tt10088006	Khalid: Free Spirit	2019	Drama		
tt10088984	Between Two Worlds	2021	Drama		
tt10089152	Bed of Thorns	2019	Drama		
tt10089828	Fate Vobis	2018	Comedy		
tt10090096	Stregati Dalla Bruna	2016	Comedy		
tt10090742	The Neighborhood Roadshow	2017	Comedy		
tt10090744	Raia 4	2019	Drama		
tt10091530	Holiday Rush	2019	Comedy	Drama	Family
tt10091956	Muhimmah fi 7 Ayyam	2019	Comedy	Thriller	
tt10092362	Pastor's Wife	2020	Drama		
tt10092464	Adbhoot - ek dhandal saira vaira	2020	Drama		
tt10092860	If I Were You	2019	Comedy	Drama	
tt10093086	Emilie	2018	Drama		
tt10093094	Aim	2018	Drama		
tt10094644	Journey of Unity	2019	Drama		
tt10095308	Pink Skies Ahead	2020	Comedy	Drama	
tt10095498	Get Real	2019	Drama		
tt10095582	The Tragedy of Macbeth	2021	Drama	History	Thriller
tt10095714	Millae: Good Brother	2018	Romance		
tt10096224	Terrolun and Lunlun	2018	Drama		
tt10096424	Sono solo fantasmi	2019	Comedy		
tt10096850	Arrhythmia	2019	Drama		
tt10097312	Manchurian Tiger	2020	Comedy	Drama	
tt10097346	Stars Await Us	2020	Drama		
tt10097364	Send Me to the Clouds	2019	Drama		
tt10097384	Home Sweet Home	2021	Drama	Mystery	Thriller
tt10097386	Sudba	2020	Drama		
tt10097436	The Eleventh Chapter	2019	Comedy	Drama	
tt10097470	Love Song 1980	2020	Drama		
tt10097544	Super Me	2019	Drama	Fantasy	Mystery
tt10097752	Vermelha	2019	Drama		
tt10097816	Stranded	2019	Drama	Romance	
tt10097832	Hui dao guo qu yong bao ni	2019	Drama		
tt10098042	Sunray	2020	Drama	War	
tt10098288	Roohi	2021	Comedy	Horror	
tt10098374	The Twins	2019	Drama	Mystery	Romance
tt10098442	L'autre	2020	Drama		
tt10098472	Finky	2019	Drama		
tt10100196	You Mean Everything to Me	2020	Drama		
tt10100506	Omar And Us	2019	Drama		
tt10100620	Chernobyl: Zona otchuzhdeniya	2019	Drama	Mystery	Sci-Fi
tt10100678	Losers Revolution	2020	Comedy		
tt10101082	Chasing a broken heart	2016	Drama		
tt10101246	Ok, está bien...	2020	Comedy		
tt10101782	Foodiverse	2019	Animation	Family	
tt10101806	Illegal Woman	2020	Drama		
tt10101846	One Night	2019	Drama	Family	
tt10102080	Range Roads	2021	Drama		
tt10102182	Tutor - Secret Lesson on Tasty Sex	2017	Romance		
tt10102192	Nadhoo Khan	2019	Drama		
tt10102250	Ti Dete To Deto Te Detat Saglech Detat Shivya	2017	Comedy		
tt10102296	Undga	2017	Drama		
tt10102328	Adhyaksha In America	2019	Comedy		
tt10102350	2 Fingers Honey	2019	Comedy		
tt10102402	The Campaign	2020	Comedy	Drama	
tt10102408	Vremeto e nashe	2018	Drama		
tt10102746	The Forgotten	2020	Drama		
tt10102826	Grutarally: The Return of 'Kid's Eating Trash'	2018	Comedy	Music	
tt10104502	Psycho Ape!	2020	Comedy	Horror	
tt10105850	La rivoluzione	2019	Drama		
tt10106082	Conversaciones	2020	Comedy	Drama	Mystery
tt10106368	Sem Raiz	2017	Drama		
tt10106734	Dhumas	2019	Drama	Romance	
tt10106822	Bhetali Tu Punha	2017	Romance		
tt10106848	Mamu: And a Mother Too	2018	Comedy		
tt10107222	Cocoon	2020	Drama	Romance	
tt10107868	In a New York Minute	2019	Drama		
tt10107882	Double Twisting Double Back	2018	Drama		
tt10108062	Lavinya	2021	Drama	Thriller	
tt10108074	Common Creed	2019	Drama		
tt10108286	Blestyashchey zhizni lepestok	2017	Drama		
tt10108544	Always a Bridesmaid	2019	Comedy	Romance	
tt10109750	BABA 'Bu Alem Bi Alem'	2019	Comedy	Drama	
tt10110180	Little Miss Period	2019	Comedy		
tt10110614	Apples	2020	Comedy	Drama	
tt10111180	Millennium Bugs	2020	Comedy		
tt10111182	Island	2019	Drama		
tt10111188	Emerald City: Live	2016	Drama		
tt10111198	Happy Thanksgiving	2021	Comedy		
tt10111222	Asuang	2018	Comedy		
tt10111404	Lat Mat 4: Nha Co Khach	2019	Comedy	Horror	
tt10111568	Smile Please	2019	Drama		
tt10111576	Hospicio	2018	Drama		
tt10111630	A Biopic from the Film Industry	2019	Drama		
tt10111746	Between Heaven and Earth	2019	Drama		
tt10112020	Solo No	2019	Drama		
tt10112032	Askedager	2020	Drama		
tt10112154	Bau Na Vichaar	2019	Comedy	Drama	
tt10112464	Frank & Fearless	2018	Comedy		
tt10112466	Peppa Pig: Festival of Fun	2019	Animation	Family	
tt10115300	Ruza	2017	Drama		
tt10115562	On a Magical Night	2019	Comedy		
tt10115644	Ragmork	2019	Drama	Horror	Thriller
tt10116478	Rose and Tulip	2019	Romance		
tt10116482	Krymskaya Istoriya X	2018	Drama		
tt10116488	You Tell Me	2019	Comedy	Drama	
tt10116556	The Way It Is and the Way It Used to Be	2021	Comedy		
tt10117046	Zygote	2017	Comedy	Drama	
tt10117402	I'm Livin' It	2019	Drama		
tt10117554	Chance	2019	Drama		
tt10117768	My Little Sister	2020	Drama		
tt10118064	377 AbNormal	2019	Drama		
tt10118092	Planted	2019	Drama		
tt10118768	The Show Might Go On	2016	Comedy		
tt10121110	The Art of Dying Far Away	2020	Drama		
tt10121294	This Jelly Doughnut Feeling	2019	Comedy		
tt10121508	Test Pattern	2019	Drama	Thriller	
tt10121852	Huntash	2017	Drama		
tt10121894	In Search of Echo	2019	Drama		
tt10122038	Chambal	2019	Drama		
tt10122334	Sur la peau	2019	Drama		
tt10122486	I Need You Dead!	2020	Comedy	Horror	
tt10122504	Rampaat	2019	Comedy		
tt10122618	Gondi	2020	Drama		
tt10122846	Cult	2019	Comedy	Drama	
tt10123034	Sapos	2019	Drama		
tt10123698	Miss	2020	Comedy	Drama	
tt10123970	Mother's Child	2020	Drama		
tt10124442	About Him or How He Did Not Fear the Bear	2019	Drama		
tt10124714	A Frenchman	2019	Drama		
tt10125662	Chhalawa	2019	Comedy	Drama	Family
tt10125774	Mens	2019	Drama		
tt10125986	Up to You	2018	Romance		
tt10126040	The Exchange	2021	Comedy	Drama	
tt10126230	Wasted Eggs	2018	Drama	Family	
tt10126434	Scare Me	2020	Comedy	Horror	
tt10126462	Post	2019	Drama	Fantasy	Horror
tt10126628	Lost in Love	2019	Drama		
tt10127228	Up to You	2018	Romance		
tt10127302	Aatpadi Nights	2019	Comedy		
tt10127546	The Lehman Trilogy	2019	Drama		
tt10127628	Jakkanna	2016	Comedy	Drama	
tt10127634	Dhaght Ali	2019	Comedy		
tt10127696	Reprint	2019	Animation	Crime	Drama
tt10127746	Shootout at Kanpur	2019	Drama		
tt10127774	Tommy Machismo	2019	Comedy		
tt10127790	Die Abenteuer des Tiberius von Hadern	2018	Comedy		
tt10127964	Perspectiva	2021	Drama	Sci-Fi	
tt10128920	Na bank sie uda	2019	Comedy	Crime	
tt10129040	1800 gramów	2019	Comedy		
tt10131028	Honesty Weekend	2020	Comedy		
tt10131904	Vse ili nichego	2018	Comedy		
tt10132068	Marygoround	2020	Drama		
tt10132430	Ryan Cownie: I Can't Die	2019	Comedy		
tt10132488	Sakura	2020	Drama	Family	
tt10132970	A Death Perspective	2019	Drama		
tt10132976	The Salt of Tears	2020	Drama		
tt10133066	Swayamvada	2019	Drama		
tt10133076	Special	2019	Drama	Thriller	
tt10133278	Greenfield	2019	Drama	Thriller	
tt10133680	Kasaai	2019	Drama		
tt10133856	Under the Weather	2019	Drama		
tt10134522	Boucan	2019	Comedy	Drama	
tt10135490	Stuk kapel po steklu	2019	Drama		
tt10135960	Las campañas de invierno	2019	Drama		
tt10136110	Le voleur rose: Pink Thief	2020	Comedy		
tt10136364	Adwokat	2019	Drama		
tt10136434	Zieja	2020	Drama		
tt10136606	S.O.N.S. (Sons of Nanay Sabel)	2019	Comedy		
tt10136768	Ana Zhan	2019	Drama		
tt10136880	Valiyaperunnal	2019	Drama	Thriller	
tt10138068	Schmetterlinge	2020	Drama	Romance	
tt10140024	Beer Conversations	2019	Comedy	Drama	
tt10140138	Krocken	2018	Comedy	Drama	
tt10140310	A Rock N' Roll Heart	2019	Comedy	Romance	
tt10140632	A Man Who Meets Himself	2019	Drama	Horror	Thriller
tt10140912	A Stolen Life	2018	Drama	Thriller	
tt10140922	Odessa	2019	Comedy	Romance	
tt10141678	Fate of the Night	2021	Drama	Horror	Thriller
tt10141690	Kusumitar Gappo	2019	Drama		
tt10141736	Don't Tell Me You Can't Sing	2018	Drama		
tt10142050	Realization	2019	Drama		
tt10143114	Premier de la classe	2019	Comedy		
tt10143308	Tout nous sourit	2020	Comedy		
tt10143498	My Dog Stupid	2019	Comedy		
tt10144160	Beneath the Scar	2019	Drama		
tt10145122	Das perfekte Geheimnis	2019	Comedy	Drama	Romance
tt10145220	Foreign Love	2018	Romance		
tt10146198	Kerosin	2019	Drama		
tt10146204	Doberman	2019	Drama		
tt10146208	On the Edge	2020	Drama	Sport	
tt10146532	Ojai	2021	Drama		
tt10147214	Danza de Luna	2017	Drama		
tt10147284	Daddy, Be with Me	2017	Comedy		
tt10147316	Heart of America	2019	Comedy	History	
tt10147382	My People, My Country	2019	Drama	History	
tt10147910	The Maid	2020	Drama	Horror	Mystery
tt10149868	Chasing Molly	2019	Comedy	Crime	
tt10149976	Poor Lucky Rich Boy	2021	Comedy	Romance	
tt10150354	The Four Fathers	2021	Drama		
tt10150920	Green Summer	2020	Drama		
tt10150980	Giraffraud	2019	Comedy		
tt10151074	Wish You Were Here	2021	Comedy	Drama	
tt10151102	Liberty Equality Fraternity: Live	2016	Drama		
tt10151286	No Storybook Love	2019	Comedy	Drama	Romance
